"Date","Stream flow","Tested","Stages"
"1946-03-03",122,"A","Not a Flood Stage"
"1946-03-04",104,"A","Not a Flood Stage"
"1946-03-05",87,"A","Not a Flood Stage"
"1946-03-06",78,"A","Not a Flood Stage"
"1946-03-07",87,"A","Not a Flood Stage"
"1946-03-08",110,"A","Not a Flood Stage"
"1946-03-09",270,"A","Not a Flood Stage"
"1946-03-10",267,"A","Not a Flood Stage"
"1946-03-11",201,"A","Not a Flood Stage"
"1946-03-12",142,"A","Not a Flood Stage"
"1946-03-13",112,"A","Not a Flood Stage"
"1946-03-14",101,"A","Not a Flood Stage"
"1946-03-15",224,"A","Not a Flood Stage"
"1946-03-16",213,"A","Not a Flood Stage"
"1946-03-17",163,"A","Not a Flood Stage"
"1946-03-18",159,"A","Not a Flood Stage"
"1946-03-19",144,"A","Not a Flood Stage"
"1946-03-20",120,"A","Not a Flood Stage"
"1946-03-21",95,"A","Not a Flood Stage"
"1946-03-22",80,"A","Not a Flood Stage"
"1946-03-23",72,"A","Not a Flood Stage"
"1946-03-24",62,"A","Not a Flood Stage"
"1946-03-25",52,"A","Not a Flood Stage"
"1946-03-26",159,"A","Not a Flood Stage"
"1946-03-27",300,"A","Not a Flood Stage"
"1946-03-28",198,"A","Not a Flood Stage"
"1946-03-29",153,"A","Not a Flood Stage"
"1946-03-30",198,"A","Not a Flood Stage"
"1946-03-31",205,"A","Not a Flood Stage"
"1946-04-01",147,"A","Not a Flood Stage"
"1946-04-02",117,"A","Not a Flood Stage"
"1946-04-03",104,"A","Not a Flood Stage"
"1946-04-04",91,"A","Not a Flood Stage"
"1946-04-05",74,"A","Not a Flood Stage"
"1946-04-06",68,"A","Not a Flood Stage"
"1946-04-07",64,"A","Not a Flood Stage"
"1946-04-08",57,"A","Not a Flood Stage"
"1946-04-09",55,"A","Not a Flood Stage"
"1946-04-10",45,"A","Not a Flood Stage"
"1946-04-11",36,"A","Not a Flood Stage"
"1946-04-12",37,"A","Not a Flood Stage"
"1946-04-13",48,"A","Not a Flood Stage"
"1946-04-14",42,"A","Not a Flood Stage"
"1946-04-15",35,"A","Not a Flood Stage"
"1946-04-16",76,"A","Not a Flood Stage"
"1946-04-17",66,"A","Not a Flood Stage"
"1946-04-18",57,"A","Not a Flood Stage"
"1946-04-19",53,"A","Not a Flood Stage"
"1946-04-20",48,"A","Not a Flood Stage"
"1946-04-21",43,"A","Not a Flood Stage"
"1946-04-22",33,"A","Not a Flood Stage"
"1946-04-23",36,"A","Not a Flood Stage"
"1946-04-24",46,"A","Not a Flood Stage"
"1946-04-25",43,"A","Not a Flood Stage"
"1946-04-26",43,"A","Not a Flood Stage"
"1946-04-27",43,"A","Not a Flood Stage"
"1946-04-28",40,"A","Not a Flood Stage"
"1946-04-29",42,"A","Not a Flood Stage"
"1946-04-30",39,"A","Not a Flood Stage"
"1946-05-01",39,"A","Not a Flood Stage"
"1946-05-02",39,"A","Not a Flood Stage"
"1946-05-03",40,"A","Not a Flood Stage"
"1946-05-04",60,"A","Not a Flood Stage"
"1946-05-05",72,"A","Not a Flood Stage"
"1946-05-06",58,"A","Not a Flood Stage"
"1946-05-07",58,"A","Not a Flood Stage"
"1946-05-08",78,"A","Not a Flood Stage"
"1946-05-09",70,"A","Not a Flood Stage"
"1946-05-10",62,"A","Not a Flood Stage"
"1946-05-11",60,"A","Not a Flood Stage"
"1946-05-12",144,"A","Not a Flood Stage"
"1946-05-13",170,"A","Not a Flood Stage"
"1946-05-14",319,"A","Not a Flood Stage"
"1946-05-15",527,"A","Not a Flood Stage"
"1946-05-16",355,"A","Not a Flood Stage"
"1946-05-17",485,"A","Not a Flood Stage"
"1946-05-18",503,"A","Not a Flood Stage"
"1946-05-19",355,"A","Not a Flood Stage"
"1946-05-20",228,"A","Not a Flood Stage"
"1946-05-21",190,"A","Not a Flood Stage"
"1946-05-22",150,"A","Not a Flood Stage"
"1946-05-23",112,"A","Not a Flood Stage"
"1946-05-24",89,"A","Not a Flood Stage"
"1946-05-25",72,"A","Not a Flood Stage"
"1946-05-26",70,"A","Not a Flood Stage"
"1946-05-27",70,"A","Not a Flood Stage"
"1946-05-28",70,"A","Not a Flood Stage"
"1946-05-29",58,"A","Not a Flood Stage"
"1946-05-30",46,"A","Not a Flood Stage"
"1946-05-31",36,"A","Not a Flood Stage"
"1946-06-01",71,"A","Not a Flood Stage"
"1946-06-02",955,"A","Not a Flood Stage"
"1946-06-03",642,"A","Not a Flood Stage"
"1946-06-04",334,"A","Not a Flood Stage"
"1946-06-05",183,"A","Not a Flood Stage"
"1946-06-06",117,"A","Not a Flood Stage"
"1946-06-07",84,"A","Not a Flood Stage"
"1946-06-08",64,"A","Not a Flood Stage"
"1946-06-09",50,"A","Not a Flood Stage"
"1946-06-10",37,"A","Not a Flood Stage"
"1946-06-11",30,"A","Not a Flood Stage"
"1946-06-12",32,"A","Not a Flood Stage"
"1946-06-13",52,"A","Not a Flood Stage"
"1946-06-14",58,"A","Not a Flood Stage"
"1946-06-15",45,"A","Not a Flood Stage"
"1946-06-16",30,"A","Not a Flood Stage"
"1946-06-17",25,"A","Not a Flood Stage"
"1946-06-18",28,"A","Not a Flood Stage"
"1946-06-19",164,"A","Not a Flood Stage"
"1946-06-20",159,"A","Not a Flood Stage"
"1946-06-21",104,"A","Not a Flood Stage"
"1946-06-22",68,"A","Not a Flood Stage"
"1946-06-23",50,"A","Not a Flood Stage"
"1946-06-24",37,"A","Not a Flood Stage"
"1946-06-25",28,"A","Not a Flood Stage"
"1946-06-26",26,"A","Not a Flood Stage"
"1946-06-27",25,"A","Not a Flood Stage"
"1946-06-28",21,"A","Not a Flood Stage"
"1946-06-29",17,"A","Not a Flood Stage"
"1946-06-30",15,"A","Not a Flood Stage"
"1946-07-01",15,"A","Not a Flood Stage"
"1946-07-02",25,"A","Not a Flood Stage"
"1946-07-03",20,"A","Not a Flood Stage"
"1946-07-04",15,"A","Not a Flood Stage"
"1946-07-05",9.7,"A","Not a Flood Stage"
"1946-07-06",8.8,"A","Not a Flood Stage"
"1946-07-07",7.9,"A","Not a Flood Stage"
"1946-07-08",7,"A","Not a Flood Stage"
"1946-07-09",5,"A","Not a Flood Stage"
"1946-07-10",6.7,"A","Not a Flood Stage"
"1946-07-11",7,"A","Not a Flood Stage"
"1946-07-12",7.4,"A","Not a Flood Stage"
"1946-07-13",6,"A","Not a Flood Stage"
"1946-07-14",4.5,"A","Not a Flood Stage"
"1946-07-15",5,"A","Not a Flood Stage"
"1946-07-16",4.5,"A","Not a Flood Stage"
"1946-07-17",4,"A","Not a Flood Stage"
"1946-07-18",3.8,"A","Not a Flood Stage"
"1946-07-19",3.8,"A","Not a Flood Stage"
"1946-07-20",4,"A","Not a Flood Stage"
"1946-07-21",12,"A","Not a Flood Stage"
"1946-07-22",22,"A","Not a Flood Stage"
"1946-07-23",12,"A","Not a Flood Stage"
"1946-07-24",9.2,"A","Not a Flood Stage"
"1946-07-25",11,"A","Not a Flood Stage"
"1946-07-26",5.3,"A","Not a Flood Stage"
"1946-07-27",6,"A","Not a Flood Stage"
"1946-07-28",4.8,"A","Not a Flood Stage"
"1946-07-29",3.5,"A","Not a Flood Stage"
"1946-07-30",4.6,"A","Not a Flood Stage"
